"";"";"";"";"sharp";""
"84";"process";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"298"
"85";"peter";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"299"
"86";"marvel";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"300"
"87";"marc";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"301"
"88";"blender";"-0.0873986931432694";"-0.397783870227932";"0.919560078784976";"303"
"89";"iconic";"0.216142422018541";"-0.38352284621604";"0.9142468099737";"312"
"90";"big";"-0.586954476647553";"0.965640956366685";"0.913882445185427";"313"
"91";"epic";"0.244601217542704";"-0.0815290486139872";"0.913548059778467";"314"
"92";"screen";"-0.161049268094827";"-2.28801072824029";"0.910086594289871";"316"
"93";"shade";"0.0502949098730943";"-0.453614233006127";"0.907321572890254";"322"
"94";"cathedral";"-0.625381844609421";"1.07051978918166";"0.907206267577509";"323"
"95";"airbrush";"-0.249953550361592";"-2.226493777624";"0.906073969406356";"331"
"96";"armin";"-0.249953550361592";"-2.226493777624";"0.906073969406356";"333"
"97";"sword";"-0.125714587169883";"-0.162683610019526";"0.902667850467878";"336"
"98";"person";"0.215879920973906";"-0.256448965591202";"0.902594055067721";"338"
"99";"shape";"0.294334936635629";"-0.287460081130673";"0.902534096305094";"339"
"100";"lenin";"0.196122617429486";"-0.397429282629463";"0.898798204172166";"341"
"101";"clean";"0.291485069527355";"-0.24230444429435";"0.898627552309303";"342"
"102";"star";"0.0994048696738451";"-0.651024288006549";"0.89771664033862";"344"
"103";"beard";"-0.625381844609421";"1.07051978918165";"0.897137807668642";"346"
"104";"great";"-0.176637347261607";"-0.310973418618565";"0.896895666511878";"347"
"105";"hole";"0.62424842935795";"0.381410164193112";"0.895000047170355";"350"
"106";"canon";"-0.249953550361592";"-2.226493777624";"0.89390925891179";"355"
"107";"environment";"-0.206680587221755";"-2.04451442388544";"0.891114258130859";"361"
"108";"minimalism";"0.216142422018541";"-0.38352284621604";"0.890706077323743";"362"
"109";"pictorial";"0.216142422018541";"-0.38352284621604";"0.890706077323743";"363"
"110";"minimalistic";"0.216142422018541";"-0.38352284621604";"0.890706077323743";"364"
"111";"bold";"0.216142422018541";"-0.38352284621604";"0.890706077323743";"365"
"112";"hitler";"-0.24517843893238";"-1.80009318560806";"0.890606914754782";"366"
"113";"load";"-0.164224421032926";"-2.2858136942897";"0.889474616583629";"369"
"114";"zoom";"-0.0873986931432694";"-0.397783870227932";"0.888900396126161";"371"
"115";"wu";"-0.0873986931432694";"-0.397783870227932";"0.888900396126161";"372"
"116";"windsor";"-0.0873986931432694";"-0.397783870227932";"0.888900396126161";"373"
"117";"terror";"-0.0873986931432694";"-0.397783870227932";"0.888900396126161";"374"
"118";"superlan";"-0.0873986931432694";"-0.397783870227932";"0.888900396126161";"375"
