"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"121";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"122";2;5;6;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"123";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
"124";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"125";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;66;66;66;66;66;66;66
"126";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"127";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"128";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"129";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;66;66;66;66;66;66;66
"130";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;63;63;63;63;63;63;63;63;63
"131";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;58;58;58;58;58;58;58;58;58;58;58
"132";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"133";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;77;77
"134";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
