"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"165";2;5;6;8;10;10;10;10;18;18;18;18;18;18
"166";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"167";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"168";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"169";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"170";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"171";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"172";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"173";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"174";2;5;6;9;9;9;9;9;9;9;9;9;9;9
"175";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"176";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"177";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"178";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"179";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"180";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"181";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"182";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"183";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"184";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"185";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"186";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"187";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"188";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"189";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"190";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"191";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"192";2;5;6;9;9;9;9;9;9;9;9;9;9;9
"193";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"194";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"195";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"196";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"197";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"198";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"199";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"200";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"201";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"202";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"203";2;5;6;8;10;10;10;10;18;18;18;18;18;18
"204";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"205";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"206";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"207";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"208";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"209";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"210";2;5;6;8;10;10;10;10;18;18;18;18;18;18
"211";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"212";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"213";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"214";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"215";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"216";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"217";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"218";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"219";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"220";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"221";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"222";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"223";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"224";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"225";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"226";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"227";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"228";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"229";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"230";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"231";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"232";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"233";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"234";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"235";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"236";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"237";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"238";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"239";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"240";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"241";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"242";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"243";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"244";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"245";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"246";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"247";2;5;6;9;9;9;9;9;9;9;9;9;9;9
"248";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"249";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"250";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"251";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"252";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"253";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"254";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"255";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"256";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"257";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"258";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"259";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"260";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"261";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"262";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"263";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"264";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"265";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"266";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"267";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"268";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"269";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"270";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"271";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"272";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"273";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"274";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"275";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"276";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"277";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"278";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"279";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"280";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"281";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"282";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"283";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"284";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"285";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"286";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"287";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"288";2;5;7;7;7;7;7;7;7;7;7;7;7;7
"289";2;5;7;7;7;7;7;7;7;7;7;7;7;7
"290";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"291";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"292";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"293";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"294";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"295";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"296";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"297";2;5;6;8;11;12;14;16;16;16;16;16;16;16
