"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"villeneuve";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834365;0,000281905377084032;0,0188459744239173;0,838995585899974;0,0692783655155869;0,00148012136488101;7,60421837602757e-06;0,000668483224375006;0,0394057084605608;0,00539304571963297;0,00801121570198278;1,40302882827993;0,0157699971398722
"style";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834365;0,000281905377084032;0,0188459744239173;0,838995585899974;0,0692783655155869;0,00148012136488101;7,60421837602757e-06;0,000668483224375006;0,0394057084605608;0,00539304571963297;0,00801121570198278;1,40302882827993;0,0157699971398722
"room";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834365;0,000281905377084032;0,0188459744239173;0,838995585899974;0,0692783655155869;0,00148012136488101;7,60421837602757e-06;0,000668483224375006;0,0394057084605608;0,00539304571963297;0,00801121570198278;1,40302882827993;0,0157699971398722
"open";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834365;0,000281905377084032;0,0188459744239173;0,838995585899974;0,0692783655155869;0,00148012136488101;7,60421837602757e-06;0,000668483224375006;0,0394057084605608;0,00539304571963297;0,00801121570198278;1,40302882827993;0,0157699971398722
"magali";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834365;0,000281905377084032;0,0188459744239173;0,838995585899974;0,0692783655155869;0,00148012136488101;7,60421837602757e-06;0,000668483224375006;0,0394057084605608;0,00539304571963297;0,00801121570198278;1,40302882827993;0,0157699971398722
"american";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834365;0,000281905377084032;0,0188459744239173;0,838995585899974;0,0692783655155869;0,00148012136488101;7,60421837602757e-06;0,000668483224375006;0,0394057084605608;0,00539304571963297;0,00801121570198278;1,40302882827993;0,0157699971398722
"light";-0,676213469241912;1,57577947594697;1,48941682595855;-1,26025546002745;-0,00239117026456391;-0,260333361070883;0,606654534313976;0,573406041101207;-0,485181905774059;-0,000920569347079921;0,106376963150038;0,436607582481407;0,296628046027331;0,160387059974912;3,48366310235127e-07;0,00348008350238312;0,0188978722930096;0,0168831913268659;0,0120875756723617;4,35154053469088e-08;0,00761065491688364;1,8234337954049;0,0253047487755936
"mucha";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,075981447281886;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131066;0,164932279376002;0,000211283674931877;7,11630722210712e-05;0,0298008207604476;0,0210601914422147;0,0157926230285857;3,35313898659024e-05;0,00580813138393751;2,35273039554814;0,0321499837993086
"alphonse";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,075981447281886;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131066;0,164932279376002;0,000211283674931877;7,11630722210712e-05;0,0298008207604476;0,0210601914422147;0,0157926230285857;3,35313898659024e-05;0,00580813138393751;2,35273039554814;0,0321499837993086
"symmetrical";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,0759814472818859;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131067;0,164932279376002;0,000211283674931876;6,62552741368594e-05;0,0277455917424857;0,0196077644461999;0,0147034766128212;3,1218880219978e-05;0,00540757059883837;2,35273039554814;0,0299327435372873
